municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro                               ;2020/05/04 07:00:00;106;95,35;1368;1230,5;079603
Madrid-Salamanca                            ;2020/05/04 07:00:00;97;61,65;1551;985,76;079604
Madrid-Centro                               ;2020/05/04 07:00:00;95;66,79;1111;781,13;079601
Madrid-Arganzuela                           ;2020/05/04 07:00:00;114;63,9;1510;846,4;079602
Madrid-Chamartín                            ;2020/05/04 07:00:00;124;84,42;1532;1042,99;079605
Madrid-Tetuán                               ;2020/05/04 07:00:00;124;75,85;2048;1252,77;079606
Madrid-Chamberí                             ;2020/05/04 07:00:00;140;94,29;1460;983,28;079607
Madrid-Fuencarral-El Pardo                  ;2020/05/04 07:00:00;157;69,92;2810;1251,45;079608
Madrid-Moncloa-Aravaca                      ;2020/05/04 07:00:00;121;95,36;1272;1002,49;079609
Madrid-Latina                               ;2020/05/04 07:00:00;231;92,56;2631;1054,21;079610
Madrid-Carabanchel                          ;2020/05/04 07:00:00;208;84,41;2528;1025,9;079611
Madrid-Usera                                ;2020/05/04 07:00:00;98;66,01;1338;901,3;079612
Madrid-Puente de Vallecas                   ;2020/05/04 07:00:00;175;68,43;2904;1135,55;079613
Madrid-San Blas - Canillejas                ;2020/05/04 07:00:00;79;56,89;1379;992,98;079620
Madrid-Barajas                              ;2020/05/04 07:00:00;17;32,27;411;780,17;079621
Madrid-Moratalaz                            ;2020/05/04 07:00:00;75;77,02;1266;1300,12;079614
Madrid-Ciudad Lineal                        ;2020/05/04 07:00:00;164;61,97;2111;797,64;079615
Madrid-Hortaleza                            ;2020/05/04 07:00:00;95;44,97;1664;787,6;079616
Madrid-Villaverde                           ;2020/05/04 07:00:00;104;65,39;1358;853,86;079617
Madrid-Villa de Vallecas                    ;2020/05/04 07:00:00;44;41,26;1161;1088,82;079618
Madrid-Vicálvaro                            ;2020/05/04 07:00:00;41;57,03;752;1046,07;079619
Pozuelo de Alarcón                          ;2020/05/04 07:00:00;110;124,58;737;834,65;1150  
Alcorcón                                    ;2020/05/04 07:00:00;127;72,64;1718;982,61;0072  
Navalcarnero                                ;2020/05/04 07:00:00;14;49,59;159;563,25;0967  
San Agustín del Guadalix                    ;2020/05/04 07:00:00;;20,6;58;398,27;1296  
Las Rozas de Madrid                         ;2020/05/04 07:00:00;83;86,6;725;756,41;1277  
Moraleja de Enmedio                         ;2020/05/04 07:00:00;;37,34;25;466,77;0894  
Valdaracete                                 ;2020/05/04 07:00:00;;0;;823,72;1551  
Pozuelo del Rey                             ;2020/05/04 07:00:00;;0;;404,04;1163  
Puebla de la Sierra                         ;2020/05/04 07:00:00;;0;;0;1185  
Perales de Tajuña                           ;2020/05/04 07:00:00;;26,86;8;214,88;1104  
Valdemorillo                                ;2020/05/04 07:00:00;;33;46;379,51;1603  
Navalafuente                                ;2020/05/04 07:00:00;;0;6;755,67;0941  
Velilla de San Antonio                      ;2020/05/04 07:00:00;;32,02;67;536,3;1678  
Villanueva de la Cañada                     ;2020/05/04 07:00:00;14;57,41;129;529,04;1760  
Villanueva del Pardillo                     ;2020/05/04 07:00:00;;29,61;83;491,44;1776  
Nuevo Baztán                                ;2020/05/04 07:00:00;;30,09;28;421,24;1006  
Villamantilla                               ;2020/05/04 07:00:00;;0;7;829,38;1757  
Villamanta                                  ;2020/05/04 07:00:00;;0;12;563,12;1744  
Cabanillas de la Sierra                     ;2020/05/04 07:00:00;;0;10;1727,12;0297  
Cenicientos                                 ;2020/05/04 07:00:00;6;305,97;25;1274,86;0376  
Puentes Viejas                              ;2020/05/04 07:00:00;;0;;437,64;9020  
Aranjuez                                    ;2020/05/04 07:00:00;19;29,95;437;688,94;0133  
Cercedilla                                  ;2020/05/04 07:00:00;8;106,85;101;1349;0382  
Santorcaz                                   ;2020/05/04 07:00:00;;0;7;1236,75;1369  
Coslada                                     ;2020/05/04 07:00:00;36;40,72;778;880,06;0493  
Morata de Tajuña                            ;2020/05/04 07:00:00;6;77,25;95;1223,12;0915  
Robregordo                                  ;2020/05/04 07:00:00;;0;;0;1261  
Navarredonda y San Mamés                    ;2020/05/04 07:00:00;;0;;2409,64;0973  
Venturada                                   ;2020/05/04 07:00:00;;0;;212,46;1697  
Navacerrada                                 ;2020/05/04 07:00:00;;107,6;17;609,76;0936  
Montejo de la Sierra                        ;2020/05/04 07:00:00;;0;;279,33;0881  
Fresno de Torote                            ;2020/05/04 07:00:00;;0;14;1165,7;0571  
Pinilla del Valle                           ;2020/05/04 07:00:00;;0;;0;1126  
Valdemaqueda                                ;2020/05/04 07:00:00;;116,96;;584,8;1599  
Navas del Rey                               ;2020/05/04 07:00:00;12;407,61;61;2072,01;0992  
Olmeda de las Fuentes                       ;2020/05/04 07:00:00;;0;;1244,81;1013  
Bustarviejo                                 ;2020/05/04 07:00:00;;0;7;393,92;0284  
Becerril de la Sierra                       ;2020/05/04 07:00:00;;51,98;30;519,75;0186  
Fuenlabrada                                 ;2020/05/04 07:00:00;108;52,94;1480;725,44;0587  
Garganta de los Montes                      ;2020/05/04 07:00:00;;0;;364,96;0626  
Pinto                                       ;2020/05/04 07:00:00;27;50,8;247;464,7;1132  
Alameda del Valle                           ;2020/05/04 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/05/04 07:00:00;;0;;1315,79;0203  
Los Santos de la Humosa                     ;2020/05/04 07:00:00;;59,56;20;1191,19;1375  
El Álamo                                    ;2020/05/04 07:00:00;10;101,29;71;719,13;0040  
Pelayos de la Presa                         ;2020/05/04 07:00:00;;0;16;600,38;1090  
Galapagar                                   ;2020/05/04 07:00:00;46;138,68;241;726,56;0611  
Griñón                                      ;2020/05/04 07:00:00;;17,32;80;692,88;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/05/04 07:00:00;;0;;1027,4;0632  
Aldea del Fresno                            ;2020/05/04 07:00:00;;66,31;53;1757,29;0088  
Carabaña                                    ;2020/05/04 07:00:00;;57,21;13;743,71;0357  
Talamanca de Jarama                         ;2020/05/04 07:00:00;;63,86;27;862,07;1454  
Chapinería                                  ;2020/05/04 07:00:00;;0;6;262,24;0513  
Ciempozuelos                                ;2020/05/04 07:00:00;16;62,34;215;837,68;0409  
Ajalvir                                     ;2020/05/04 07:00:00;;42,14;14;294,99;0029  
San Lorenzo de El Escorial                  ;2020/05/04 07:00:00;16;90,32;128;722,55;1317  
Gascones                                    ;2020/05/04 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/05/04 07:00:00;7;34,37;84;412,47;1322  
Móstoles                                    ;2020/05/04 07:00:00;140;64,06;1924;880,36;0920  
Leganés                                     ;2020/05/04 07:00:00;134;68,05;2861;1452,96;0745  
Braojos                                     ;2020/05/04 07:00:00;;0;;1242,24;0246  
Cubas de la Sagra                           ;2020/05/04 07:00:00;;36,07;24;432,82;0506  
Algete                                      ;2020/05/04 07:00:00;;22,52;103;463,86;0091  
Mejorada del Campo                          ;2020/05/04 07:00:00;7;28,56;173;705,95;0843  
Loeches                                     ;2020/05/04 07:00:00;;0;48;692,54;0758  
Parla                                       ;2020/05/04 07:00:00;45;32,92;718;525,21;1065  
Fuentidueña de Tajo                         ;2020/05/04 07:00:00;;50,43;17;857,29;0604  
Ambite                                      ;2020/05/04 07:00:00;;0;7;1402,81;0112  
Torremocha de Jarama                        ;2020/05/04 07:00:00;;0;8;996,26;1533  
Anchuelo                                    ;2020/05/04 07:00:00;;0;7;916,23;0127  
Los Molinos                                 ;2020/05/04 07:00:00;7;174,69;50;1247,82;0875  
Soto del Real                               ;2020/05/04 07:00:00;;30,62;63;643,12;1441  
Valverde de Alcalá                          ;2020/05/04 07:00:00;;375,94;8;3007,52;1662  
Fuente el Saz de Jarama                     ;2020/05/04 07:00:00;;23,42;32;374,71;0590  
Horcajo de la Sierra-Aoslos                 ;2020/05/04 07:00:00;;0;;5882,35;0702  
Valdeolmos-Alalpardo                        ;2020/05/04 07:00:00;;36,9;11;405,9;1625  
Campo Real                                  ;2020/05/04 07:00:00;;16,6;24;398,41;0339  
Valdeavero                                  ;2020/05/04 07:00:00;;0;8;759,73;1564  
Villamanrique de Tajo                       ;2020/05/04 07:00:00;;146,84;;587,37;1739  
Cobeña                                      ;2020/05/04 07:00:00;;26,82;65;871,66;0416  
Fresnedillas de la Oliva                    ;2020/05/04 07:00:00;;73,53;9;661,76;0565  
Valdilecha                                  ;2020/05/04 07:00:00;;39,2;17;666,41;1659  
El Berrueco                                 ;2020/05/04 07:00:00;;0;8;1246,11;0210  
Pezuela de las Torres                       ;2020/05/04 07:00:00;;0;;384,62;1111  
Villar del Olmo                             ;2020/05/04 07:00:00;;0;;398,01;1795  
Guadarrama                                  ;2020/05/04 07:00:00;38;240,54;192;1215,34;0685  
San Martín de Valdeiglesias                 ;2020/05/04 07:00:00;7;82,07;84;984,88;1338  
Torrelodones                                ;2020/05/04 07:00:00;80;308,48;248;956,27;1527  
Boadilla del Monte                          ;2020/05/04 07:00:00;33;62,46;297;562,11;0225  
Torrejón de Velasco                         ;2020/05/04 07:00:00;;50,62;20;506,2;1505  
Villanueva de Perales                       ;2020/05/04 07:00:00;;0;;518,67;1782  
Tielmes                                     ;2020/05/04 07:00:00;;88,77;33;1464,71;1467  
San Sebastián de los Reyes                  ;2020/05/04 07:00:00;33;35,97;465;506,86;1343  
Guadalix de la Sierra                       ;2020/05/04 07:00:00;;33,53;36;603,52;0679  
Humanes de Madrid                           ;2020/05/04 07:00:00;8;38,82;105;509,51;0730  
Chinchón                                    ;2020/05/04 07:00:00;;19,38;25;484,4;0528  
Cadalso de los Vidrios                      ;2020/05/04 07:00:00;;32,86;8;262,9;0318  
Hoyo de Manzanares                          ;2020/05/04 07:00:00;8;104,43;33;430,75;0724  
Torrejón de la Calzada                      ;2020/05/04 07:00:00;;11,6;37;429,18;1492  
Estremera                                   ;2020/05/04 07:00:00;;82,37;9;741,35;0552  
Corpa                                       ;2020/05/04 07:00:00;;0;6;1438,85;0480  
Meco                                        ;2020/05/04 07:00:00;;7,15;126;901,16;0838  
Madarcos                                    ;2020/05/04 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/05/04 07:00:00;;62,23;22;1369,01;1837  
Arganda del Rey                             ;2020/05/04 07:00:00;19;32,79;330;569,52;0148  
Collado Mediano                             ;2020/05/04 07:00:00;;45,64;31;471,63;0468  
Daganzo de Arriba                           ;2020/05/04 07:00:00;;0;39;359,98;0534  
Manzanares El Real                          ;2020/05/04 07:00:00;;34,61;37;426,86;0822  
Buitrago del Lozoya                         ;2020/05/04 07:00:00;;44,15;15;662,25;0278  
Valdelaguna                                 ;2020/05/04 07:00:00;;0;;121,36;1570  
Valdepiélagos                               ;2020/05/04 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/05/04 07:00:00;;0;10;293,43;0360  
Miraflores de la Sierra                     ;2020/05/04 07:00:00;;72,49;35;634,29;0856  
Paracuellos de Jarama                       ;2020/05/04 07:00:00;;13,04;69;299,88;1049  
El Vellón                                   ;2020/05/04 07:00:00;;70,42;13;915,49;1684  
Lozoya                                      ;2020/05/04 07:00:00;;0;;236,97;0761  
Collado Villalba                            ;2020/05/04 07:00:00;65;93,83;464;669,79;0474  
Colmenarejo                                 ;2020/05/04 07:00:00;7;86,54;42;519,22;0442  
Villavieja del Lozoya                       ;2020/05/04 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/05/04 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/05/04 07:00:00;;0;11;362,92;0301  
Sevilla la Nueva                            ;2020/05/04 07:00:00;42;422,15;123;1236,31;1415  
La Acebeda                                  ;2020/05/04 07:00:00;;0;;0;0014  
Redueña                                     ;2020/05/04 07:00:00;;0;;1169,59;1219  
Robledillo de la Jara                       ;2020/05/04 07:00:00;;0;;1851,85;1245  
La Serna del Monte                          ;2020/05/04 07:00:00;;0;;0;1381  
Colmenar de Oreja                           ;2020/05/04 07:00:00;;41,68;25;347,37;0437  
Rozas de Puerto Real                        ;2020/05/04 07:00:00;;0;;765,31;1283  
Valdemanco                                  ;2020/05/04 07:00:00;;0;;135,14;1586  
Brunete                                     ;2020/05/04 07:00:00;10;88,56;73;646,48;0262  
Titulcia                                    ;2020/05/04 07:00:00;;0;8;804,83;1473  
Villa del Prado                             ;2020/05/04 07:00:00;8;121,27;114;1728,06;1718  
Lozoyuela-Navas-Sieteiglesias               ;2020/05/04 07:00:00;;0;;261,55;9015  
Quijorna                                    ;2020/05/04 07:00:00;;50,94;22;1120,73;1198  
Valdemoro                                   ;2020/05/04 07:00:00;32;41,89;743;972,54;1610  
Tres Cantos                                 ;2020/05/04 07:00:00;26;54,11;338;703,43;9036  
Torrelaguna                                 ;2020/05/04 07:00:00;;59,29;18;355,73;1512  
Rivas-Vaciamadrid                           ;2020/05/04 07:00:00;23;26,7;532;617,66;1230  
El Atazar                                   ;2020/05/04 07:00:00;;0;;0;0164  
Pedrezuela                                  ;2020/05/04 07:00:00;;54,21;25;451,75;1087  
Santa María de la Alameda                   ;2020/05/04 07:00:00;;528,54;6;634,25;1356  
Horcajuelo de la Sierra                     ;2020/05/04 07:00:00;;0;;0;0719  
Arroyomolinos                               ;2020/05/04 07:00:00;8;30,66;158;605,62;0151  
Moralzarzal                                 ;2020/05/04 07:00:00;;23,04;68;522,19;0908  
Canencia                                    ;2020/05/04 07:00:00;;271;;542,01;0344  
Villarejo de Salvanés                       ;2020/05/04 07:00:00;;13,12;34;446,14;1809  
Serranillos del Valle                       ;2020/05/04 07:00:00;;131,61;31;816;1408  
Villaviciosa de Odón                        ;2020/05/04 07:00:00;14;50,47;190;684,93;1816  
Camarma de Esteruelas                       ;2020/05/04 07:00:00;;28,1;42;590,14;0323  
Robledo de Chavela                          ;2020/05/04 07:00:00;;26,53;22;583,55;1258  
Patones                                     ;2020/05/04 07:00:00;;218,34;6;1310,04;1071  
Navalagamella                               ;2020/05/04 07:00:00;;0;6;266,67;0954  
Rascafría                                   ;2020/05/04 07:00:00;;0;;339,44;1202  
El Boalo                                    ;2020/05/04 07:00:00;6;94,86;39;616,6;0231  
Majadahonda                                 ;2020/05/04 07:00:00;58;74,39;528;677,19;0800  
Batres                                      ;2020/05/04 07:00:00;;0;8;1797,75;0170  
Alcobendas                                  ;2020/05/04 07:00:00;57;47,02;707;583,27;0066  
Alcalá de Henares                           ;2020/05/04 07:00:00;66;31,57;2289;1094,97;0053  
Colmenar Viejo                              ;2020/05/04 07:00:00;33;65,47;362;718,21;0455  
San Fernando de Henares                     ;2020/05/04 07:00:00;18;42,83;405;963,67;1300  
Villalbilla                                 ;2020/05/04 07:00:00;;0;88;787,47;1723  
El Escorial                                 ;2020/05/04 07:00:00;17;102,27;97;583,53;0549  
Colmenar del Arroyo                         ;2020/05/04 07:00:00;42;2721,97;48;3110,82;0421  
Torrejón de Ardoz                           ;2020/05/04 07:00:00;40;28,92;942;681,18;1489  
Piñuécar-Gandullas                          ;2020/05/04 07:00:00;;0;;0;1147  
Brea de Tajo                                ;2020/05/04 07:00:00;;0;;680,27;0259  
El Molar                                    ;2020/05/04 07:00:00;;31,27;35;364,81;0869  
Belmonte de Tajo                            ;2020/05/04 07:00:00;;72,31;;361,53;0199  
Torres de la Alameda                        ;2020/05/04 07:00:00;;36,41;75;910,19;1548  
Somosierra                                  ;2020/05/04 07:00:00;;0;;1612,9;1436  
Alpedrete                                   ;2020/05/04 07:00:00;36;249,43;138;956,14;0105  
Orusco de Tajuña                            ;2020/05/04 07:00:00;;0;17;1539,86;1028  
La Hiruela                                  ;2020/05/04 07:00:00;;0;;9090,91;0698  
Cervera de Buitrago                         ;2020/05/04 07:00:00;;0;;2777,78;0395  
Getafe                                      ;2020/05/04 07:00:00;86;44,93;1216;635,33;0650  
Ribatejada                                  ;2020/05/04 07:00:00;;227,79;;455,58;1224  
Villaconejos                                ;2020/05/04 07:00:00;;0;8;180,34;1701  
Valdetorres de Jarama                       ;2020/05/04 07:00:00;;0;16;402,31;1646  
Madrid-Retiro                               ;2020/05/03 07:00:00;104;93,55;1363;1226,01;079603
Madrid-Salamanca                            ;2020/05/03 07:00:00;100;63,56;1549;984,49;079604
Madrid-Centro                               ;2020/05/03 07:00:00;101;71,01;1110;780,43;079601
Madrid-Arganzuela                           ;2020/05/03 07:00:00;120;67,26;1507;844,72;079602
Madrid-Chamartín                            ;2020/05/03 07:00:00;123;83,74;1528;1040,27;079605
Madrid-Tetuán                               ;2020/05/03 07:00:00;128;78,3;2046;1251,54;079606
Madrid-Chamberí                             ;2020/05/03 07:00:00;141;94,96;1457;981,26;079607
Madrid-Fuencarral-El Pardo                  ;2020/05/03 07:00:00;158;70,37;2802;1247,88;079608
Madrid-Moncloa-Aravaca                      ;2020/05/03 07:00:00;117;92,21;1262;994,61;079609
Madrid-Latina                               ;2020/05/03 07:00:00;216;86,55;2605;1043,79;079610
Madrid-Carabanchel                          ;2020/05/03 07:00:00;210;85,22;2519;1022,25;079611
Madrid-Usera                                ;2020/05/03 07:00:00;101;68,04;1337;900,63;079612
Madrid-Puente de Vallecas                   ;2020/05/03 07:00:00;179;69,99;2903;1135,16;079613
Madrid-San Blas - Canillejas                ;2020/05/03 07:00:00;82;59,05;1379;992,98;079620
Madrid-Barajas                              ;2020/05/03 07:00:00;18;34,17;411;780,17;079621
Madrid-Moratalaz                            ;2020/05/03 07:00:00;76;78,05;1267;1301,14;079614
Madrid-Ciudad Lineal                        ;2020/05/03 07:00:00;170;64,23;2111;797,64;079615
Madrid-Hortaleza                            ;2020/05/03 07:00:00;101;47,8;1664;787,6;079616
Madrid-Villaverde                           ;2020/05/03 07:00:00;111;69,79;1358;853,86;079617
Madrid-Villa de Vallecas                    ;2020/05/03 07:00:00;45;42,2;1160;1087,88;079618
Madrid-Vicálvaro                            ;2020/05/03 07:00:00;42;58,42;753;1047,46;079619
Pozuelo de Alarcón                          ;2020/05/03 07:00:00;110;124,58;735;832,39;1150  
Alcorcón                                    ;2020/05/03 07:00:00;131;74,93;1715;980,89;0072  
Navalcarnero                                ;2020/05/03 07:00:00;13;46,05;158;559,71;0967  
San Agustín del Guadalix                    ;2020/05/03 07:00:00;;20,6;58;398,27;1296  
Las Rozas de Madrid                         ;2020/05/03 07:00:00;84;87,64;723;754,32;1277  
Moraleja de Enmedio                         ;2020/05/03 07:00:00;;37,34;25;466,77;0894  
Valdaracete                                 ;2020/05/03 07:00:00;;0;;823,72;1551  
Pozuelo del Rey                             ;2020/05/03 07:00:00;;0;;404,04;1163  
Puebla de la Sierra                         ;2020/05/03 07:00:00;;0;;0;1185  
Perales de Tajuña                           ;2020/05/03 07:00:00;;26,86;8;214,88;1104  
Valdemorillo                                ;2020/05/03 07:00:00;;33;46;379,51;1603  
Navalafuente                                ;2020/05/03 07:00:00;;0;6;755,67;0941  
Velilla de San Antonio                      ;2020/05/03 07:00:00;;32,02;67;536,3;1678  
Villanueva de la Cañada                     ;2020/05/03 07:00:00;15;61,52;129;529,04;1760  
Villanueva del Pardillo                     ;2020/05/03 07:00:00;;29,61;83;491,44;1776  
Nuevo Baztán                                ;2020/05/03 07:00:00;;30,09;28;421,24;1006  
Villamantilla                               ;2020/05/03 07:00:00;;0;7;829,38;1757  
Villamanta                                  ;2020/05/03 07:00:00;;46,93;12;563,12;1744  
Cabanillas de la Sierra                     ;2020/05/03 07:00:00;;0;10;1727,12;0297  
Cenicientos                                 ;2020/05/03 07:00:00;6;305,97;25;1274,86;0376  
Puentes Viejas                              ;2020/05/03 07:00:00;;0;;437,64;9020  
Aranjuez                                    ;2020/05/03 07:00:00;22;34,68;437;688,94;0133  
Cercedilla                                  ;2020/05/03 07:00:00;7;93,5;100;1335,65;0382  
Santorcaz                                   ;2020/05/03 07:00:00;;0;7;1236,75;1369  
Coslada                                     ;2020/05/03 07:00:00;40;45,25;778;880,06;0493  
Morata de Tajuña                            ;2020/05/03 07:00:00;6;77,25;95;1223,12;0915  
Robregordo                                  ;2020/05/03 07:00:00;;0;;0;1261  
Navarredonda y San Mamés                    ;2020/05/03 07:00:00;;0;;2409,64;0973  
Venturada                                   ;2020/05/03 07:00:00;;0;;212,46;1697  
Navacerrada                                 ;2020/05/03 07:00:00;;107,6;17;609,76;0936  
Montejo de la Sierra                        ;2020/05/03 07:00:00;;0;;279,33;0881  
Fresno de Torote                            ;2020/05/03 07:00:00;;0;14;1165,7;0571  
Pinilla del Valle                           ;2020/05/03 07:00:00;;0;;0;1126  
Valdemaqueda                                ;2020/05/03 07:00:00;;116,96;;584,8;1599  
Navas del Rey                               ;2020/05/03 07:00:00;15;509,51;61;2072,01;0992  
Olmeda de las Fuentes                       ;2020/05/03 07:00:00;;0;;1244,81;1013  
Bustarviejo                                 ;2020/05/03 07:00:00;;0;7;393,92;0284  
Becerril de la Sierra                       ;2020/05/03 07:00:00;;51,98;30;519,75;0186  
Fuenlabrada                                 ;2020/05/03 07:00:00;109;53,43;1479;724,95;0587  
Garganta de los Montes                      ;2020/05/03 07:00:00;;0;;364,96;0626  
Pinto                                       ;2020/05/03 07:00:00;29;54,56;247;464,7;1132  
Alameda del Valle                           ;2020/05/03 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/05/03 07:00:00;;0;;1315,79;0203  
Los Santos de la Humosa                     ;2020/05/03 07:00:00;;59,56;20;1191,19;1375  
El Álamo                                    ;2020/05/03 07:00:00;11;111,41;71;719,13;0040  
Pelayos de la Presa                         ;2020/05/03 07:00:00;;0;16;600,38;1090  
Galapagar                                   ;2020/05/03 07:00:00;47;141,69;240;723,55;0611  
Griñón                                      ;2020/05/03 07:00:00;;17,32;80;692,88;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/05/03 07:00:00;;0;;1027,4;0632  
Aldea del Fresno                            ;2020/05/03 07:00:00;;66,31;53;1757,29;0088  
Carabaña                                    ;2020/05/03 07:00:00;;57,21;13;743,71;0357  
Talamanca de Jarama                         ;2020/05/03 07:00:00;;63,86;27;862,07;1454  
Chapinería                                  ;2020/05/03 07:00:00;;0;6;262,24;0513  
Ciempozuelos                                ;2020/05/03 07:00:00;17;66,24;209;814,31;0409  
Ajalvir                                     ;2020/05/03 07:00:00;;42,14;14;294,99;0029  
San Lorenzo de El Escorial                  ;2020/05/03 07:00:00;16;90,32;128;722,55;1317  
Gascones                                    ;2020/05/03 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/05/03 07:00:00;8;39,28;84;412,47;1322  
Móstoles                                    ;2020/05/03 07:00:00;143;65,43;1923;879,9;0920  
Leganés                                     ;2020/05/03 07:00:00;139;70,59;2860;1452,45;0745  
Braojos                                     ;2020/05/03 07:00:00;;0;;1242,24;0246  
Cubas de la Sagra                           ;2020/05/03 07:00:00;;54,1;24;432,82;0506  
Algete                                      ;2020/05/03 07:00:00;;22,52;103;463,86;0091  
Mejorada del Campo                          ;2020/05/03 07:00:00;7;28,56;173;705,95;0843  
Loeches                                     ;2020/05/03 07:00:00;;0;48;692,54;0758  
Parla                                       ;2020/05/03 07:00:00;47;34,38;717;524,48;1065  
Fuentidueña de Tajo                         ;2020/05/03 07:00:00;;50,43;17;857,29;0604  
Ambite                                      ;2020/05/03 07:00:00;;0;7;1402,81;0112  
Torremocha de Jarama                        ;2020/05/03 07:00:00;;0;8;996,26;1533  
Anchuelo                                    ;2020/05/03 07:00:00;;0;7;916,23;0127  
Los Molinos                                 ;2020/05/03 07:00:00;8;199,65;50;1247,82;0875  
Soto del Real                               ;2020/05/03 07:00:00;;51,04;63;643,12;1441  
Valverde de Alcalá                          ;2020/05/03 07:00:00;;375,94;8;3007,52;1662  
Fuente el Saz de Jarama                     ;2020/05/03 07:00:00;;23,42;32;374,71;0590  
Horcajo de la Sierra-Aoslos                 ;2020/05/03 07:00:00;;0;;5882,35;0702  
Valdeolmos-Alalpardo                        ;2020/05/03 07:00:00;;36,9;11;405,9;1625  
Campo Real                                  ;2020/05/03 07:00:00;;16,6;24;398,41;0339  
Valdeavero                                  ;2020/05/03 07:00:00;;0;8;759,73;1564  
Villamanrique de Tajo                       ;2020/05/03 07:00:00;;146,84;;587,37;1739  
Cobeña                                      ;2020/05/03 07:00:00;;26,82;65;871,66;0416  
Fresnedillas de la Oliva                    ;2020/05/03 07:00:00;;73,53;9;661,76;0565  
Valdilecha                                  ;2020/05/03 07:00:00;;39,2;17;666,41;1659  
El Berrueco                                 ;2020/05/03 07:00:00;;0;8;1246,11;0210  
Pezuela de las Torres                       ;2020/05/03 07:00:00;;0;;384,62;1111  
Villar del Olmo                             ;2020/05/03 07:00:00;;0;;398,01;1795  
Guadarrama                                  ;2020/05/03 07:00:00;39;246,87;187;1183,69;0685  
San Martín de Valdeiglesias                 ;2020/05/03 07:00:00;7;82,07;83;973,15;1338  
Torrelodones                                ;2020/05/03 07:00:00;82;316,19;248;956,27;1527  
Boadilla del Monte                          ;2020/05/03 07:00:00;33;62,46;297;562,11;0225  
Torrejón de Velasco                         ;2020/05/03 07:00:00;;50,62;19;480,89;1505  
Villanueva de Perales                       ;2020/05/03 07:00:00;;0;;518,67;1782  
Tielmes                                     ;2020/05/03 07:00:00;;133,16;33;1464,71;1467  
San Sebastián de los Reyes                  ;2020/05/03 07:00:00;33;35,97;465;506,86;1343  
Guadalix de la Sierra                       ;2020/05/03 07:00:00;;33,53;36;603,52;0679  
Humanes de Madrid                           ;2020/05/03 07:00:00;8;38,82;105;509,51;0730  
Chinchón                                    ;2020/05/03 07:00:00;;38,75;25;484,4;0528  
Cadalso de los Vidrios                      ;2020/05/03 07:00:00;;32,86;8;262,9;0318  
Hoyo de Manzanares                          ;2020/05/03 07:00:00;8;104,43;33;430,75;0724  
Torrejón de la Calzada                      ;2020/05/03 07:00:00;;11,6;37;429,18;1492  
Estremera                                   ;2020/05/03 07:00:00;;82,37;9;741,35;0552  
Corpa                                       ;2020/05/03 07:00:00;;0;6;1438,85;0480  
Meco                                        ;2020/05/03 07:00:00;;7,15;126;901,16;0838  
Madarcos                                    ;2020/05/03 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/05/03 07:00:00;;124,46;22;1369,01;1837  
Arganda del Rey                             ;2020/05/03 07:00:00;18;31,06;329;567,79;0148  
Collado Mediano                             ;2020/05/03 07:00:00;;45,64;31;471,63;0468  
Daganzo de Arriba                           ;2020/05/03 07:00:00;;0;39;359,98;0534  
Manzanares El Real                          ;2020/05/03 07:00:00;;34,61;37;426,86;0822  
Buitrago del Lozoya                         ;2020/05/03 07:00:00;;44,15;15;662,25;0278  
Valdelaguna                                 ;2020/05/03 07:00:00;;0;;121,36;1570  
Valdepiélagos                               ;2020/05/03 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/05/03 07:00:00;;0;10;293,43;0360  
Miraflores de la Sierra                     ;2020/05/03 07:00:00;;72,49;35;634,29;0856  
Paracuellos de Jarama                       ;2020/05/03 07:00:00;;13,04;69;299,88;1049  
El Vellón                                   ;2020/05/03 07:00:00;;70,42;13;915,49;1684  
Lozoya                                      ;2020/05/03 07:00:00;;0;;236,97;0761  
Collado Villalba                            ;2020/05/03 07:00:00;67;96,72;464;669,79;0474  
Colmenarejo                                 ;2020/05/03 07:00:00;7;86,54;42;519,22;0442  
Villavieja del Lozoya                       ;2020/05/03 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/05/03 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/05/03 07:00:00;;0;11;362,92;0301  
Sevilla la Nueva                            ;2020/05/03 07:00:00;43;432,2;123;1236,31;1415  
La Acebeda                                  ;2020/05/03 07:00:00;;0;;0;0014  
Redueña                                     ;2020/05/03 07:00:00;;0;;1169,59;1219  
